Enforced immutability
Color quantization
Deepcopy
Averages/Mean angle
Identity matrix
Averages/Mean time of day
Arena storage pool
Fibonacci word
Pascal matrix generation
Happy numbers
Closest-pair problem
Call a function in a shared library
Long multiplication
Count occurrences of a substring
Function composition
Four bit adder
Longest common subsequence
Averages/Root mean square
Literals/Integer
Digital root
Averages/Pythagorean means
CRC-32
Factors of an integer
Parsing/RPN calculator algorithm
Comments
Percolation/Mean cluster density
Execute a Markov algorithm
"Abundant, deficient and perfect number classifications"
Forest fire
Constrained random points on a circle
Parsing/RPN to infix conversion
Atomic updates
Almost prime
Longest increasing subsequence
Loop over multiple arrays simultaneously
Empty directory
Flipping bits game
Loops/Do-while
Pascal's triangle
Ludic numbers
Loops/While
Loops/Foreach
Matrix transposition
Factorial
Active Directory/Connect
LZW compression
FTP
Continued fraction
Hofstadter Q sequence
Knuth shuffle
Hofstadter Figure-Figure sequences
Knuth's algorithm S
Ordered words
Distributed programming
Non-decimal radices/Input
Documentation
Last Friday of each month
Classes
Polymorphic copy
Cut a rectangle
Dining philosophers
Active object
OLE Automation
Inheritance/Single
Hostname
Hello world/Newbie
Permutations/Derangements
Anagrams/Deranged anagrams
Here document
Hello world/Standard error
Modular exponentiation
Operator precedence
Arithmetic/Complex
Loops/Downward for
Non-decimal radices/Convert
Largest int from concatenated ints
Pinstripe/Display
Pinstripe/Printer
Colour bars/Display
Gamma function
Colour pinstripe/Printer
Colour pinstripe/Display
Break OO privacy
Memory layout of a data structure
Define a primitive data type
Object serialization
Determine if a string is numeric
Introspection
Call a function
Binary strings
Palindrome detection
JortSort
Greatest element of a list
Fractal tree
Generate lower case ASCII alphabet
Arrays
Literals/String
Deconvolution/1D
Convert seconds to compound duration
Munching squares
Higher-order functions
Menu
Left factorials
Middle three digits
Digital root/Multiplicative digital root
Make directory path
Catalan numbers/Pascal's triangle
Comma quibbling
Animate a pendulum
Character codes
Align columns
Percentage difference between images
CSV data manipulation
Greatest subsequential sum
Knapsack problem/0-1
Number names
Globally replace text in several files
Arbitrary-precision integers (included)
Multiplication tables
Permutation test
Hello world/Line printer
Maze solving
Parallel calculations
Optional parameters
"Calendar - for ""REAL"" programmers"
Animation
Combinations
FizzBuzz
100 doors
Multiplicative order
Balanced ternary
DNS query
Hailstone sequence
"Hofstadter-Conway $10,000 sequence"
Matrix multiplication
Langton's ant
Compile-time calculation
Interactive programming
Huffman coding
Mandelbrot set
Function prototype
Bitmap/Flood fill
Day of the week
Arithmetic-geometric mean
Factors of a Mersenne number
Bitmap/Read an image through a pipe
Floyd's triangle
Casting out nines
Chat server
Best shuffle
Draw a cuboid
Find largest left truncatable prime in a given base
Maze generation
Matrix arithmetic
Circles of given radius through two points
Count in factors
Paraffins
Accumulator factory
JSON
Draw a sphere
Formatted numeric output
